Municipio,Codigo,Año,Total suscriptores urbanos,Suscriptores  urbano estrato 01,Suscriptores  urbano estrato 02,Suscriptores urbano estrato 03,Suscriptores urbano estrato 04,Suscriptores  urbano estrato 05,Suscriptores urbano estrato 06,Suscriptores urbano industrial,Suscriptores urbano  comercial,Suscriptores urbano oficial,Suscriptores urbano alumbrado publico,Consumo promedio urbano estrato 01,Consumo promedio urbano estrato 02,Consumo promedio urbano estrato 03,Consumo promedio urbano estrato 04,Consumo promedio urbano estrato 05,Consumo promedio urbano estrato 06,Consumo promedio urbano industrial,Consumo promedio urbano comercial,Consumo promedio urbano oficial,Consumo promedio urbano alumbrado publico,Consumo total urbano estrato 01,Consumo total urbano estrato 02,Consumo total urbano estrato 03,Consumo total urbano estrato 04,Consumo total urbano estrato 05,Consumo total urbano estrato 06,Consumo total urbano industrial,Consumo total urbano comercial,Consumo total urbano oficial,Consumo total urbano alumbrado publico,# Suscriptores rurales,Suscriptores rural estrato 01,Suscriptores  rural estrato 02,Suscriptores  rural estrato 03,Suscriptores rural estrato 04,Suscriptores rural estrato 05,Suscriptores rural estrato 06,Suscriptores rural industrial,Suscriptores rural comercial,Suscriptores rural oficial,Suscriptores rural alumbrado publico,Consumo promedio rural estrato 01,Consumo promedio rural estrato 02,Consumo promedio rural estrato 03,Consumo promedio rural estrato 04,Consumo promedio rural estrato 05,Consumo promedio rural estrato 06,Consumo promedio rural industrial,Consumo promedio rural comercial,Consumo promedio rural oficial,Consumo promedio rural alumbrado publico,Consumo total rural estrato 01,Consumo total rural estrato 02,Consumo total rural estrato 03,Consumo total rural estrato 04,Consumo total rural estrato 05,Consumo total rural estrato 06,Consumo total rural industrial,Consumo total rural comercial,Consumo total rural oficial,Consumo total rural alumbrado publico,Porcentaje cobertuta municipio
Guachene,19300,2017,1837,733,1026,2,0,0,0,10,32,15,19,1292.532060027285,1652.5964912280701,1376.5,0,0,0,511698.1,5839.15625,12084.133333333333,52818.26315789474,947426,1695564,2753,0,0,0,5116981,186853,181262,1003547,3498.0,3243,204,0,0,0,0,16,15,20,0,1593.1523280912736,2095.5343137254904,0,0,0,0,112426.25,1174,4620,0,5166593,427489,0,0,0,0,1798820,17610,92400,0,0.995
Guapi,19318,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Inza,19355,2013,537,130,291,4,0,0,0,3,67,14,28,1072.5923076923077,1234.3264604810997,3022.25,0,0,0,4702.666666666667,4293.731343283582,2282.5,16772.214285714286,139437,359189,12089,0,0,0,14108,287680,31955,469622,5880.0,5554,193,0,0,0,0,6,30,97,0,575.4742527907814,748.3160621761658,0,0,0,0,10922.166666666666,1380.0333333333333,2313.6494845360826,0,3196184,144425,0,0,0,0,65533,41401,224424,0,0.76
Inza,19355,2014,448,135,198,3,0,0,0,3,67,14,28,997.4296296296296,1203.711409395973,3072,0,0,0,4374,4254.328358208955,2766.9285714285716,16548.035714285714,134653,358706,9216,0,0,0,13122,285040,38737,463345,6190.0,5859,195,0,0,0,0,7,30,99,0,642.4275473630312,835.4512820512821,0,0,0,0,11428,1244.1,1859.3333333333333,0,3763983,162913,0,0,0,0,79996,37323,184074,0,0.773
Inza,19355,2015,562,138,307,3,0,0,0,3,69,14,28,1023.7101449275362,1275.6742671009772,2510.6666666666665,0,0,0,4812.333333333333,3768.5942028985505,3552.5,16519.64285714286,141272,391632,7532,0,0,0,14437,260033,49735,462550,6281.0,5937,195,0,0,0,0,7,31,111,0,671.7190500252652,851.5794871794872,0,0,0,0,11242.42857142857,1089.4193548387098,1741.4774774774776,0,3987996,166058,0,0,0,0,78697,33772,193304,0,0.81
Inza,19355,2016,579,140,315,5,0,0,0,3,74,14,28,1237.1214285714286,1445.1238095238095,1561,0,0,0,4187,2397,3475.214285714286,15207.214285714286,173197,455214,4683,0,0,0,12561,177378,48653,425802,6338.0,6006,195,0,0,0,0,7,32,98,0,936.080586080586,1137.7282051282052,0,0,0,0,10895.714285714286,942.28125,1823.8469387755101,0,5622100,221857,0,0,0,0,76270,30153,178737,0,0.81
Inza,19355,2017,586,144,318,3,0,0,0,3,74,16,28,912.8055555555555,1150.1352201257862,1605,0,0,0,4953.666666666667,1931.6891891891892,3928.0625,12432.857142857143,131444,365743,4815,0,0,0,14861,142945,62849,348120,6861.0,6523,195,0,0,0,0,7,34,102,0,720.992334815269,921.2923076923076,0,0,0,0,6904,1038.2941176470588,1750.9803921568628,0,4703033,179652,0,0,0,0,48328,35302,178600,0,0.81
Jambalo,19364,2014,340,193,120,1,0,0,0,3,11,12,0,766.1709844559585,933.3666666666667,800,0,0,0,0,502.6666666666667,4032.181818181818,7937.666666666667,147871,112004,800,0,0,0,0,1508,44354,95252,2192.0,2091,50,0,0,0,0,0,8,43,0,587.7651841224294,561.66,0,0,0,0,0,923.125,1776.7441860465117,0,1229017,28083,0,0,0,0,0,7385,76400,0,0.66
Jambalo,19364,2015,351,201,122,1,0,0,0,0,4,11,12,767.955223880597,922.3934426229508,612,0,0,0,0,863.5,5095.181818181818,6896.416666666667,154359,112532,612,0,0,0,0,3454,56047,82757,2303.0,2194,50,0,0,0,0,0,10,49,0,529.5742935278031,498.4,0,0,0,0,0,842.3,1526.938775510204,0,1161886,24920,0,0,0,0,0,8423,74820,0,0.66
Jambalo,19364,2016,358,208,121,1,0,0,0,0,4,12,12,801.5576923076923,994.1900826446281,1357,0,0,0,0,634,4951.916666666667,6966.333333333333,166724,120297,1357,0,0,0,0,2536,59423,83596,2305.0,2202,50,0,0,0,0,0,10,43,0,477.23478655767485,470.04,0,0,0,0,0,841.4,1889.5581395348838,0,1050871,23502,0,0,0,0,0,8414,81251,0,0.66
Jambalo,19364,2017,363,212,121,1,0,0,0,0,4,13,12,836.5188679245283,963.099173553719,1167,0,0,0,0,753.25,3565.5384615384614,6947.25,177342,116535,1167,0,0,0,0,3013,46352,83367,2439.0,2336,50,0,0,0,0,0,10,43,0,600.9233732876712,636.38,0,0,0,0,0,898.4,1810.6976744186047,0,1403757,31819,0,0,0,0,0,8984,77860,0,0.66
La Sierra,19392,2012,50,11,0,1,0,0,0,1,23,11,3,984.1170960187353,1100.5454545454545,0,1859,0,0,21837,4580.130434782609,7166.545454545455,24040.333333333332,420218,12106,0,1859,0,0,21837,105343,78832,72121,2489.0,2301,111,0,0,0,0,15,17,45,0,702.9821816601477,830.009009009009,0,0,0,0,3657.733333333333,4209.117647058823,987.1555555555556,0,1617562,92131,0,0,0,0,54866,71555,44422,0,0.0
La Sierra,19392,2013,625,573,11,1,2,0,0,1,23,11,3,889.4415357766143,1326.1818181818182,828,2070.5,0,0,31928,4764,5869.090909090909,28231,509650,14588,828,4141,0,0,31928,109572,64560,84693,2658.0,2463,111,0,0,0,0,18,20,46,0,801.3727161997564,976.8648648648649,0,0,0,0,6029.5,4793.1,908.4130434782609,0,1973781,108432,0,0,0,0,108531,95862,41787,0,0.82
La Sierra,19392,2014,607,554,11,0,1,0,0,1,26,11,3,719.0072202166065,1032.7272727272727,0,1683,0,0,31573,4306.038461538462,5730.363636363636,27844.333333333332,398330,11360,0,1683,0,0,31573,111957,63034,83533,2761.0,2565,109,0,0,0,0,19,22,46,0,645.2187134502924,778.5045871559633,0,0,0,0,6657.315789473684,4666.136363636364,737.6521739130435,0,1654986,84857,0,0,0,0,126489,102655,33932,0,0.83
